"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2023","224.00","225.80","228.40","224.00","741.25K","-0.71%"
"05/02/2023","225.60","224.00","226.00","223.60","380.15K","0.27%"
"04/28/2023","225.00","219.00","225.00","219.00","691.14K","2.74%"
"04/27/2023","219.00","220.00","220.60","219.00","135.44K","-0.09%"
"04/26/2023","219.20","221.00","221.00","217.00","446.86K","-0.36%"
"04/25/2023","220.00","221.00","221.20","218.00","243.76K","-0.45%"
"04/24/2023","221.00","219.40","221.00","217.20","622.27K","1.75%"
"04/20/2023","217.20","219.60","219.60","216.80","303.16K","-1.18%"
"04/19/2023","219.80","217.00","219.80","216.20","294.63K","1.29%"
"04/18/2023","217.00","220.00","220.00","215.20","319.73K","-1.18%"
"04/17/2023","219.60","215.00","219.60","214.80","494.92K","2.33%"
"04/14/2023","214.60","213.20","216.00","212.80","483.84K","0.85%"
"04/13/2023","212.80","213.00","215.00","212.00","1.15M","0.28%"
"04/12/2023","212.20","216.00","217.00","212.20","784.04K","-1.85%"
"04/11/2023","216.20","223.00","223.00","215.20","1.18M","-3.05%"
"04/05/2023","223.00","226.00","227.00","223.00","247.65K","-1.33%"
"04/04/2023","226.00","227.00","229.00","225.00","578.83K","0.00%"
"04/03/2023","226.00","224.60","226.00","220.20","230.39K","0.89%"
"03/31/2023","224.00","223.40","225.00","222.20","518.64K","0.00%"
"03/30/2023","224.00","219.20","224.00","218.60","386.44K","2.28%"
"03/29/2023","219.00","224.20","224.20","218.60","1.10M","-2.06%"
"03/28/2023","223.60","227.00","227.00","222.60","372.93K","-1.06%"
"03/27/2023","226.00","225.20","227.00","222.60","122.01K","0.36%"
"03/24/2023","225.20","223.20","226.60","223.00","528.46K","0.99%"
"03/23/2023","223.00","226.80","227.00","223.00","750.79K","-1.76%"
"03/22/2023","227.00","225.00","229.00","225.00","725.31K","1.16%"
"03/21/2023","224.40","222.20","224.80","222.20","320.96K","1.08%"
"03/20/2023","222.00","223.00","226.00","221.00","1.29M","-0.45%"
"03/17/2023","223.00","219.00","224.00","218.60","1.28M","3.72%"
"03/16/2023","215.00","223.80","225.00","212.00","1.07M","-4.02%"
"03/15/2023","224.00","220.00","226.80","220.00","384.92K","2.28%"
"03/14/2023","219.00","227.00","227.00","219.00","579.49K","-3.61%"
"03/13/2023","227.20","226.20","228.00","226.00","366.93K","0.44%"
"03/10/2023","226.20","230.00","231.00","226.20","325.46K","-1.65%"
"03/09/2023","230.00","232.00","234.80","229.40","264.60K","0.00%"
"03/08/2023","230.00","232.00","232.20","229.40","552.86K","-0.95%"
"03/07/2023","232.20","232.00","235.00","232.00","400.86K","0.09%"
"03/06/2023","232.00","234.00","237.00","232.00","307.76K","-0.85%"
"03/03/2023","234.00","231.40","236.40","231.40","473.50K","1.30%"
"03/02/2023","231.00","238.00","241.20","231.00","616.59K","-2.94%"
"03/01/2023","238.00","239.00","239.00","236.00","367.53K","-0.83%"
"02/28/2023","240.00","235.40","240.00","235.20","1.01M","2.04%"
"02/27/2023","235.20","237.00","238.00","234.20","715.53K","-1.18%"
"02/24/2023","238.00","240.00","240.00","237.20","420.40K","0.00%"
"02/23/2023","238.00","240.00","240.00","237.20","420.40K","-0.83%"
"02/22/2023","240.00","241.80","241.80","237.40","295.66K","-0.83%"
"02/21/2023","242.00","237.20","242.00","235.60","178.93K","2.11%"
"02/20/2023","237.00","240.00","240.00","237.00","235.26K","-1.33%"
"02/17/2023","240.20","236.40","240.20","235.60","323.19K","0.67%"
"02/16/2023","238.60","239.00","242.40","236.00","223.61K","0.08%"
"02/15/2023","238.40","240.60","240.80","235.60","401.45K","-1.08%"
"02/14/2023","241.00","240.20","244.40","240.00","595.47K","0.50%"
"02/13/2023","239.80","238.80","241.60","238.20","515.35K","0.42%"
"02/10/2023","238.80","240.80","241.00","238.00","505.68K","-0.83%"
"02/09/2023","240.80","241.00","241.20","239.00","207.97K","-0.50%"
"02/08/2023","242.00","239.00","243.00","238.20","214.07K","1.68%"
"02/07/2023","238.00","241.60","242.80","238.00","629.97K","-2.86%"
"02/06/2023","245.00","245.40","245.60","240.40","440.64K","0.00%"
"02/03/2023","245.00","241.60","245.00","241.00","1.52M","1.24%"
"02/02/2023","242.00","244.00","244.00","241.00","711.08K","-1.22%"
"02/01/2023","245.00","238.00","245.00","237.20","848.77K","2.94%"
"01/31/2023","238.00","240.00","241.00","235.00","2.22M","-0.83%"
"01/30/2023","240.00","242.00","244.40","240.00","598.60K","-0.58%"
"01/27/2023","241.40","241.40","245.00","240.40","769.23K","0.00%"
"01/26/2023","241.40","244.00","244.40","241.40","217.30K","-1.07%"
"01/25/2023","244.00","245.60","247.00","243.00","1.34M","-0.81%"
"01/24/2023","246.00","242.80","247.60","242.80","507.69K","1.40%"
"01/23/2023","242.60","245.00","246.00","241.20","684.26K","-0.98%"
"01/20/2023","245.00","248.00","248.00","244.40","1.03M","-1.21%"
"01/19/2023","248.00","249.80","250.00","247.00","1.34M","-0.80%"
"01/18/2023","250.00","250.00","252.00","248.20","868.66K","-0.79%"
"01/17/2023","252.00","249.80","252.00","246.00","1.19M","1.61%"
"01/16/2023","248.00","245.20","252.00","245.20","1.31M","1.22%"
"01/13/2023","245.00","243.20","246.80","242.40","1.75M","1.24%"
"01/12/2023","242.00","240.20","243.00","239.60","1.39M","0.17%"
"01/11/2023","241.60","241.00","242.00","235.00","1.15M","0.25%"
"01/10/2023","241.00","246.00","246.00","241.00","772.81K","-0.41%"
"01/09/2023","242.00","247.00","247.00","240.20","661.60K","0.00%"
"01/06/2023","242.00","240.60","244.60","240.40","984.23K","-2.42%"
"01/05/2023","248.00","244.00","248.00","238.00","567.12K","2.14%"
"01/04/2023","242.80","237.20","244.00","237.20","686.46K","2.88%"
"01/03/2023","236.00","230.00","237.00","230.00","213.72K","2.61%"
"12/29/2022","230.00","232.00","232.00","229.40","500.21K","0.00%"
"12/28/2022","230.00","229.00","232.60","229.00","659.04K","0.44%"
"12/27/2022","229.00","231.00","233.00","227.00","792.85K","-0.43%"
